Time(Local),Hournumber,Area,FCR-N Price NOK/MW,FCR-N Price EUR/MW,FCR-N Volume MW,FCR-D Price NOK/MW,FCR-D Price EUR/MW,FCR-D Volume MW
01.01.2025 00:00:00 +01:00,1,NO1,,17.4,11,0.0,,0
01.01.2025 00:00:00 +01:00,1,NO2,,17.4,13,0.0,,0
01.01.2025 00:00:00 +01:00,1,NO3,,17.4,46,0.0,,0
01.01.2025 00:00:00 +01:00,1,NO4,,17.4,31,0.0,,0
01.01.2025 00:00:00 +01:00,1,NO5,,17.4,55,0.0,,0
01.01.2025 01:00:00 +01:00,2,NO1,,14.6,8,0.0,,0
01.01.2025 01:00:00 +01:00,2,NO2,,14.6,11,0.0,,0
01.01.2025 01:00:00 +01:00,2,NO3,,14.6,48,0.0,,0
01.01.2025 01:00:00 +01:00,2,NO4,,14.6,34,0.0,,0
01.01.2025 01:00:00 +01:00,2,NO5,,14.6,56,0.0,,0
01.01.2025 02:00:00 +01:00,3,NO1,,22.4,14,0.0,,0
01.01.2025 02:00:00 +01:00,3,NO2,,22.4,6,0.0,,0
01.01.2025 02:00:00 +01:00,3,NO3,,22.4,60,0.0,,0
01.01.2025 02:00:00 +01:00,3,NO4,,22.4,19,0.0,,0
01.01.2025 02:00:00 +01:00,3,NO5,,22.4,58,0.0,,0
01.01.2025 03:00:00 +01:00,4,NO1,,19.2,11,0.0,,0
01.01.2025 03:00:00 +01:00,4,NO2,,19.2,6,0.0,,0
01.01.2025 03:00:00 +01:00,4,NO3,,19.2,54,0.0,,0
01.01.2025 03:00:00 +01:00,4,NO4,,19.2,27,0.0,,0
01.01.2025 03:00:00 +01:00,4,NO5,,19.2,59,0.0,,0
01.01.2025 04:00:00 +01:00,5,NO1,,18.0,11,0.0,,0
01.01.2025 04:00:00 +01:00,5,NO2,,18.0,6,0.0,,0
01.01.2025 04:00:00 +01:00,5,NO3,,18.0,50,0.0,,0
01.01.2025 04:00:00 +01:00,5,NO4,,18.0,26,0.0,,0
01.01.2025 04:00:00 +01:00,5,NO5,,18.0,65,0.0,,0
01.01.2025 05:00:00 +01:00,6,NO1,,17.6,11,0.0,,0
01.01.2025 05:00:00 +01:00,6,NO2,,17.6,7,0.0,,0
01.01.2025 05:00:00 +01:00,6,NO3,,17.6,53,0.0,,0
01.01.2025 05:00:00 +01:00,6,NO4,,17.6,32,0.0,,0
