id,bidding_zone,timestamp,price_eur_mwh,created_at
1,NO1,2025-12-05 23:00:00+00,69.60,2025-12-07 16:47:52.222995+00
2,NO1,2025-12-05 23:15:00+00,69.69,2025-12-07 16:47:52.222995+00
3,NO1,2025-12-05 23:30:00+00,68.38,2025-12-07 16:47:52.222995+00
4,NO1,2025-12-05 23:45:00+00,67.85,2025-12-07 16:47:52.222995+00
5,NO1,2025-12-06 00:00:00+00,68.86,2025-12-07 16:47:52.222995+00
6,NO1,2025-12-06 00:15:00+00,68.08,2025-12-07 16:47:52.222995+00
7,NO1,2025-12-06 00:30:00+00,67.96,2025-12-07 16:47:52.222995+00
8,NO1,2025-12-06 00:45:00+00,65.03,2025-12-07 16:47:52.222995+00
9,NO1,2025-12-06 01:00:00+00,67.85,2025-12-07 16:47:52.222995+00
10,NO1,2025-12-06 01:15:00+00,67.25,2025-12-07 16:47:52.222995+00
11,NO1,2025-12-06 01:30:00+00,65.54,2025-12-07 16:47:52.222995+00
12,NO1,2025-12-06 01:45:00+00,65.44,2025-12-07 16:47:52.222995+00
13,NO1,2025-12-06 02:00:00+00,65.20,2025-12-07 16:47:52.222995+00
14,NO1,2025-12-06 02:15:00+00,63.74,2025-12-07 16:47:52.222995+00
15,NO1,2025-12-06 02:30:00+00,63.49,2025-12-07 16:47:52.222995+00
16,NO1,2025-12-06 02:45:00+00,61.41,2025-12-07 16:47:52.222995+00
17,NO1,2025-12-06 03:00:00+00,62.10,2025-12-07 16:47:52.222995+00
18,NO1,2025-12-06 03:15:00+00,61.41,2025-12-07 16:47:52.222995+00
19,NO1,2025-12-06 03:30:00+00,61.65,2025-12-07 16:47:52.222995+00
20,NO1,2025-12-06 03:45:00+00,61.66,2025-12-07 16:47:52.222995+00
21,NO1,2025-12-06 04:00:00+00,59.92,2025-12-07 16:47:52.222995+00
22,NO1,2025-12-06 04:15:00+00,58.69,2025-12-07 16:47:52.222995+00
23,NO1,2025-12-06 04:30:00+00,58.74,2025-12-07 16:47:52.222995+00
24,NO1,2025-12-06 04:45:00+00,58.57,2025-12-07 16:47:52.222995+00
25,NO1,2025-12-06 05:00:00+00,58.06,2025-12-07 16:47:52.222995+00
26,NO1,2025-12-06 05:15:00+00,58.89,2025-12-07 16:47:52.222995+00
27,NO1,2025-12-06 05:30:00+00,60.47,2025-12-07 16:47:52.222995+00
28,NO1,2025-12-06 05:45:00+00,60.49,2025-12-07 16:47:52.222995+00
29,NO1,2025-12-06 06:00:00+00,62.44,2025-12-07 16:47:52.222995+00
30,NO1,2025-12-06 06:15:00+00,63.02,2025-12-07 16:47:52.222995+00
31,NO1,2025-12-06 06:30:00+00,62.98,2025-12-07 16:47:52.222995+00
32,NO1,2025-12-06 06:45:00+00,65.79,2025-12-07 16:47:52.222995+00
33,NO1,2025-12-06 07:00:00+00,68.20,2025-12-07 16:47:52.222995+00
34,NO1,2025-12-06 07:15:00+00,69.29,2025-12-07 16:47:52.222995+00
35,NO1,2025-12-06 07:30:00+00,69.88,2025-12-07 16:47:52.222995+00
36,NO1,2025-12-06 07:45:00+00,70.66,2025-12-07 16:47:52.222995+00
37,NO1,2025-12-06 08:00:00+00,71.68,2025-12-07 16:47:52.222995+00
38,NO1,2025-12-06 08:15:00+00,72.16,2025-12-07 16:47:52.222995+00
39,NO1,2025-12-06 08:30:00+00,72.34,2025-12-07 16:47:52.222995+00
40,NO1,2025-12-06 08:45:00+00,72.35,2025-12-07 16:47:52.222995+00
41,NO1,2025-12-06 09:00:00+00,73.26,2025-12-07 16:47:52.222995+00
42,NO1,2025-12-06 09:15:00+00,73.48,2025-12-07 16:47:52.222995+00
43,NO1,2025-12-06 09:30:00+00,72.55,2025-12-07 16:47:52.222995+00
44,NO1,2025-12-06 09:45:00+00,72.86,2025-12-07 16:47:52.222995+00
45,NO1,2025-12-06 10:00:00+00,73.77,2025-12-07 16:47:52.222995+00
46,NO1,2025-12-06 10:15:00+00,73.44,2025-12-07 16:47:52.222995+00
47,NO1,2025-12-06 10:30:00+00,73.15,2025-12-07 16:47:52.222995+00
48,NO1,2025-12-06 10:45:00+00,72.96,2025-12-07 16:47:52.222995+00
49,NO1,2025-12-06 11:00:00+00,73.08,2025-12-07 16:47:52.222995+00
50,NO1,2025-12-06 11:15:00+00,72.99,2025-12-07 16:47:52.222995+00
51,NO1,2025-12-06 11:30:00+00,73.10,2025-12-07 16:47:52.222995+00
52,NO1,2025-12-06 11:45:00+00,73.38,2025-12-07 16:47:52.222995+00
53,NO1,2025-12-06 12:00:00+00,73.50,2025-12-07 16:47:52.222995+00
54,NO1,2025-12-06 12:15:00+00,73.57,2025-12-07 16:47:52.222995+00
55,NO1,2025-12-06 12:30:00+00,73.71,2025-12-07 16:47:52.222995+00
56,NO1,2025-12-06 12:45:00+00,73.77,2025-12-07 16:47:52.222995+00
57,NO1,2025-12-06 13:00:00+00,73.72,2025-12-07 16:47:52.222995+00
58,NO1,2025-12-06 13:15:00+00,73.95,2025-12-07 16:47:52.222995+00
59,NO1,2025-12-06 13:30:00+00,74.98,2025-12-07 16:47:52.222995+00
60,NO1,2025-12-06 13:45:00+00,75.49,2025-12-07 16:47:52.222995+00
61,NO1,2025-12-06 14:00:00+00,75.32,2025-12-07 16:47:52.222995+00
62,NO1,2025-12-06 14:15:00+00,75.87,2025-12-07 16:47:52.222995+00
63,NO1,2025-12-06 14:30:00+00,75.99,2025-12-07 16:47:52.222995+00
64,NO1,2025-12-06 14:45:00+00,76.06,2025-12-07 16:47:52.222995+00
65,NO1,2025-12-06 15:00:00+00,76.19,2025-12-07 16:47:52.222995+00
66,NO1,2025-12-06 15:15:00+00,76.23,2025-12-07 16:47:52.222995+00
67,NO1,2025-12-06 15:30:00+00,76.31,2025-12-07 16:47:52.222995+00
68,NO1,2025-12-06 15:45:00+00,76.82,2025-12-07 16:47:52.222995+00
69,NO1,2025-12-06 16:00:00+00,77.03,2025-12-07 16:47:52.222995+00
70,NO1,2025-12-06 16:15:00+00,76.99,2025-12-07 16:47:52.222995+00
71,NO1,2025-12-06 16:30:00+00,76.76,2025-12-07 16:47:52.222995+00
72,NO1,2025-12-06 16:45:00+00,76.61,2025-12-07 16:47:52.222995+00
73,NO1,2025-12-06 17:00:00+00,76.63,2025-12-07 16:47:52.222995+00
74,NO1,2025-12-06 17:15:00+00,76.38,2025-12-07 16:47:52.222995+00
75,NO1,2025-12-06 17:30:00+00,76.07,2025-12-07 16:47:52.222995+00
76,NO1,2025-12-06 17:45:00+00,75.87,2025-12-07 16:47:52.222995+00
77,NO1,2025-12-06 18:00:00+00,75.20,2025-12-07 16:47:52.222995+00
78,NO1,2025-12-06 18:15:00+00,74.98,2025-12-07 16:47:52.222995+00
79,NO1,2025-12-06 18:30:00+00,74.32,2025-12-07 16:47:52.222995+00
80,NO1,2025-12-06 18:45:00+00,73.84,2025-12-07 16:47:52.222995+00
81,NO1,2025-12-06 19:00:00+00,74.63,2025-12-07 16:47:52.222995+00
82,NO1,2025-12-06 19:15:00+00,73.34,2025-12-07 16:47:52.222995+00
83,NO1,2025-12-06 19:30:00+00,73.06,2025-12-07 16:47:52.222995+00
84,NO1,2025-12-06 19:45:00+00,71.88,2025-12-07 16:47:52.222995+00
85,NO1,2025-12-06 20:00:00+00,73.39,2025-12-07 16:47:52.222995+00
86,NO1,2025-12-06 20:15:00+00,71.59,2025-12-07 16:47:52.222995+00
87,NO1,2025-12-06 20:30:00+00,70.80,2025-12-07 16:47:52.222995+00
88,NO1,2025-12-06 20:45:00+00,69.97,2025-12-07 16:47:52.222995+00
89,NO1,2025-12-06 21:00:00+00,71.15,2025-12-07 16:47:52.222995+00
90,NO1,2025-12-06 21:15:00+00,70.73,2025-12-07 16:47:52.222995+00
91,NO1,2025-12-06 21:30:00+00,69.09,2025-12-07 16:47:52.222995+00
92,NO1,2025-12-06 21:45:00+00,67.84,2025-12-07 16:47:52.222995+00
93,NO1,2025-12-06 22:00:00+00,69.77,2025-12-07 16:47:52.222995+00
94,NO1,2025-12-06 22:15:00+00,68.77,2025-12-07 16:47:52.222995+00
95,NO1,2025-12-06 22:30:00+00,67.13,2025-12-07 16:47:52.222995+00
96,NO1,2025-12-06 22:45:00+00,65.06,2025-12-07 16:47:52.222995+00
